Keyword,Total,"Alabama ","Alaska ","Arizona ","Arkansas ","California ","Colorado ","Connecticut ","Delaware ","Florida ","Georgia ","Hawaii ","Idaho ","Illinois ","Indiana ","Iowa ","Kansas ","Kentucky ","Louisiana ","Maine ","Maryland ","Massachusetts ","Michigan ","Minnesota ","Mississippi ","Missouri ","Montana ","Nebraska ","Nevada ","New Hampshire ","New Jersey ","New Mexico ","New York ","North Carolina ","North Dakota ","Ohio ","Oklahoma ","Oregon ","Pennsylvania ","Rhode Island ","South Carolina ","South Dakota ","Tennessee ","Texas ","Utah ","Vermont ","Virginia ","Washington ","West Virginia ","Wisconsin ","Wyoming ",Total
beetles,1440,20,10,20,20,90,20,40,10,70,50,10,10,10,40,10,10,20,10,10,50,50,40,20,10,30,10,10,10,10,40,10,110,70,10,90,10,10,70,10,20,10,50,70,10,10,50,20,10,30,10,1440
mosquitos,1890,20,10,50,20,590,30,10,10,110,40,20,10,10,10,10,10,20,30,10,20,20,30,10,10,30,10,10,40,10,30,20,90,40,10,30,20,10,30,10,20,10,30,210,20,10,30,30,10,10,10,1890
millipedes,2380,70,10,10,10,50,10,10,10,390,480,20,10,10,20,20,10,50,20,10,30,20,40,40,30,30,10,10,10,10,30,10,70,170,10,50,10,10,70,10,90,10,50,110,10,10,90,20,20,70,10,2380
spotted lanternflies,3270,10,0,10,10,20,10,50,20,20,10,10,10,10,10,10,10,10,10,10,210,20,10,10,10,10,10,10,10,10,480,10,880,20,10,50,10,10,1000,10,10,10,10,10,10,10,90,10,50,10,10,3270
centipedes,4260,90,10,30,20,110,30,90,10,170,390,90,10,10,90,50,30,90,30,10,70,170,210,170,50,70,10,20,20,10,210,40,390,170,10,260,10,20,260,30,70,10,90,110,10,10,140,20,20,210,10,4260
hornets,6280,70,10,70,40,260,70,90,50,140,260,10,20,20,210,50,30,170,40,40,260,170,210,170,20,140,20,20,20,30,260,20,390,320,20,480,50,90,480,30,90,10,210,320,70,10,320,170,110,110,10,6280
ticks,7360,90,10,260,70,1000,110,70,20,320,210,30,30,30,170,70,90,110,70,40,140,170,320,110,50,210,20,70,50,30,170,90,480,210,10,320,140,70,260,20,70,20,210,720,50,20,210,140,30,140,10,7360
crickets,9100,40,10,480,70,1600,110,140,40,210,90,20,20,20,260,140,110,70,140,20,170,140,210,170,40,210,10,110,170,20,480,70,720,170,30,260,260,20,320,40,50,40,90,1300,50,10,140,50,40,110,10,9100
bees,11220,90,10,390,40,1600,110,170,40,480,260,30,10,10,260,70,40,90,110,20,260,260,590,210,40,140,20,30,90,30,480,50,1300,260,30,720,50,90,720,40,90,30,110,1000,50,10,210,210,50,210,10,11220
wasps,11460,170,10,320,140,1000,260,90,50,480,320,30,70,70,210,260,140,170,210,20,210,140,320,390,110,390,40,90,90,20,320,110,590,320,70,320,210,210,480,20,170,50,320,1300,210,10,260,390,50,210,20,11460
earwigs,11560,70,10,110,70,1300,390,110,30,210,140,10,170,170,320,110,10,110,70,90,140,390,1600,140,30,40,70,30,50,50,140,20,480,320,10,590,590,210,590,90,140,40,210,390,260,70,390,320,110,480,70,11560
