CITY,STATE,LATITUDE,LONGITUDE,OVERALL RANK,RESTAURANT DENSITY RANK,HUMIDITY RANK,TRIPADVISOR REVIEWS RANK
Seattle,Washington,47.6038321,122.330062,1,7,2,19
Grand Rapids,Michigan,42.9632425,85.6678639,2,25,5,14
Miami,Florida,25.7741566,80.1935973,3,1,49,3
Chicago,Illinois,41.8755616,87.6244212,4,5,22,30
Wilmington,Delaware,39.7459468,75.546589,5,2,61,2
Fort Wayne,Indiana,41.0799898,85.1386015,6,65,7,7
Atlanta,Georgia,33.7544657,84.3898151,7,15,55,9
Indianapolis,Indiana,39.7683331,86.1583502,8,64,12,5
Columbus,Ohio,39.9622601,83.0007065,9,40,32,12
Spokane,Washington,47.6571934,117.42351,10,44,4,36
Cleveland,Ohio,41.4996574,81.6936772,11,22,29,38
Baltimore,Maryland,39.2908816,76.610759,12,17,72,4
Baton Rouge,Louisiana,30.4494155,91.1869659,13,35,18,41
Des Moines,Iowa,41.5868654,93.6249494,14,63,19,18
Omaha,Nebraska,41.2587459,95.9383758,15,38,31,31
Milwaukee,Wisconsin,43.0386475,87.9090751,16,28,30,44
Pittsburgh,Pennsylvania,40.4406968,80.0025666,17,10,43,51
Portland,Oregon,45.5202471,122.674194,18,18,3,83
Portland,Maine,43.6573605,70.2586618,19,24,75,8
Charleston,West Virginia,38.3505995,81.6332812,20,52,45,10
Buffalo,New York,42.8864163,78.8781493,21,16,24,67
Duluth,Minnesota,46.7838287,92.1052679,22,88,8,13
Salem,Oregon,44.9391565,123.033121,23,87,1,23
New Orleans,Louisiana,29.9561422,90.0733934,24,42,13,61
Minneapolis,Minnesota,44.9772995,93.2654692,25,14,23,79
Fargo,North Dakota,46.877229,96.789821,26,58,9,50
Madison,Wisconsin,43.07469,89.3841663,27,43,10,65
Newark,New Jersey,40.735657,74.1723667,28,12,79,28
Springfield,Illinois,39.7990175,89.6439575,29,23,11,87
San Antonio,Texas,29.4246002,98.4951405,30,45,58,20
Little Rock,Arkansas,34.7465071,92.2896267,31,74,46,6
Boston,Massachusetts,42.3588336,71.0578303,32,3,78,45
