STATE,OVERALL RANK
Washington,1
Michigan,2
Florida,3
Illinois,4
Delaware,5
Indiana,6
Georgia,7
Ohio,8
Maryland,9
Louisiana,10
Iowa,11
Nebraska,12
Wisconsin,13
Pennsylvania,14
Oregon,15
Maine,16
West Virginia,17
New York,18
Minnesota,19
North Dakota,20
New Jersey,21
Texas,22
Arkansas,23
Massachusetts,24
South Dakota,25
Missouri,26
Connecticut,27
Tennessee,28
Virginia,29
Idaho,30
North Carolina,31
Montana,32
Mississippi,33
Kansas,34
Alabama,35
California,36
Nevada,37
Kentucky,38
Rhode Island,39
South Carolina,40
Vermont,41
Utah,42
Wyoming,43
Hawaii,44
New Mexico,45
Alaska,46
Arizona,47
New Hampshire,48
Colorado,49
Oklahoma,50
